NAV,NAV date
20.1,19-Oct-16
20.14,20-Oct-16
20.26,21-Oct-16
20.21,24-Oct-16
20.18,25-Oct-16
20.15,26-Oct-16
20.09,27-Oct-16
20.22,28-Oct-16
20.2,01-Nov-16
19.89,02-Nov-16
19.76,03-Nov-16
19.44,04-Nov-16
19.49,07-Nov-16
19.54,08-Nov-16
19.25,09-Nov-16
19.26,10-Nov-16
18.78,11-Nov-16
18.13,15-Nov-16
18.28,16-Nov-16
18.16,17-Nov-16
18.21,18-Nov-16
17.93,21-Nov-16
18.19,22-Nov-16
18.24,23-Nov-16
18.08,24-Nov-16
18.44,25-Nov-16
18.45,28-Nov-16
18.6,29-Nov-16
18.78,30-Nov-16
18.63,01-Dec-16
18.34,02-Dec-16
18.44,05-Dec-16
18.43,06-Dec-16
18.24,07-Dec-16
18.58,08-Dec-16
18.5,09-Dec-16
18.28,12-Dec-16
18.31,13-Dec-16
18.2,14-Dec-16
18.19,15-Dec-16
18.2,16-Dec-16
18.05,19-Dec-16
17.94,20-Dec-16
17.93,21-Dec-16
17.7,22-Dec-16
17.81,23-Dec-16
17.63,26-Dec-16
17.84,27-Dec-16
18,28-Dec-16
18.24,29-Dec-16
18.36,30-Dec-16
18.45,02-Jan-17
18.44,03-Jan-17
18.32,04-Jan-17
18.45,05-Jan-17
18.45,06-Jan-17
18.42,09-Jan-17
18.56,10-Jan-17
18.77,11-Jan-17
18.78,12-Jan-17
18.73,13-Jan-17
18.74,16-Jan-17
18.75,17-Jan-17
18.91,18-Jan-17
18.94,19-Jan-17
18.75,20-Jan-17
18.81,23-Jan-17
19.07,24-Jan-17
19.44,25-Jan-17
19.5,27-Jan-17
19.47,30-Jan-17
19.32,31-Jan-17
19.73,01-Feb-17
19.76,02-Feb-17
19.77,03-Feb-17
20.03,06-Feb-17
20,07-Feb-17
19.98,08-Feb-17
19.95,09-Feb-17
20.06,10-Feb-17
20.01,13-Feb-17
19.96,14-Feb-17
19.85,15-Feb-17
20.08,16-Feb-17
20.13,17-Feb-17
20.19,20-Feb-17
20.24,21-Feb-17
20.24,22-Feb-17
20.34,23-Feb-17
20.27,27-Feb-17
20.33,28-Feb-17
20.39,01-Mar-17
20.18,02-Mar-17
20.1,03-Mar-17
20.19,06-Mar-17
20.13,07-Mar-17
20.21,08-Mar-17
20.23,09-Mar-17
20.28,10-Mar-17
20.52,14-Mar-17
20.61,15-Mar-17
20.8,16-Mar-17
20.81,17-Mar-17
20.83,20-Mar-17
20.89,21-Mar-17
20.81,22-Mar-17
20.91,23-Mar-17
20.93,24-Mar-17
20.88,27-Mar-17
20.93,28-Mar-17
21.01,29-Mar-17
21.16,30-Mar-17
21.16,31-Mar-17
21.26,03-Apr-17
21.48,05-Apr-17
21.49,06-Apr-17
21.45,07-Apr-17
21.59,10-Apr-17
21.68,11-Apr-17
21.7,12-Apr-17
21.7,13-Apr-17
21.54,17-Apr-17
21.45,18-Apr-17
21.44,19-Apr-17
21.57,20-Apr-17
21.6,21-Apr-17
21.88,24-Apr-17
22.09,25-Apr-17
22.18,26-Apr-17
22.29,27-Apr-17
22.28,28-Apr-17
22.41,02-May-17
22.54,03-May-17
22.62,04-May-17
22.52,05-May-17
22.57,08-May-17
22.66,09-May-17
22.85,10-May-17
22.85,11-May-17
22.78,12-May-17
23.05,15-May-17
23.05,16-May-17
22.84,17-May-17
22.62,18-May-17
22.33,19-May-17
22.08,22-May-17
21.93,23-May-17
21.82,24-May-17
22.11,25-May-17
22.4,26-May-17
22.39,29-May-17
22.42,30-May-17
22.57,31-May-17
22.58,01-Jun-17
22.76,02-Jun-17
22.86,05-Jun-17
22.8,06-Jun-17
22.93,07-Jun-17
23,08-Jun-17
23.18,09-Jun-17
23.15,12-Jun-17
23.16,13-Jun-17
23.18,14-Jun-17
23.18,15-Jun-17
23.26,16-Jun-17
23.35,19-Jun-17
23.29,20-Jun-17
23.28,21-Jun-17
23.24,22-Jun-17
23.02,23-Jun-17
22.78,27-Jun-17
22.79,28-Jun-17
22.73,29-Jun-17
22.91,30-Jun-17
23.06,03-Jul-17
23.08,04-Jul-17
23.2,05-Jul-17
23.31,06-Jul-17
23.3,07-Jul-17
23.44,10-Jul-17
23.37,11-Jul-17
23.5,12-Jul-17
23.73,13-Jul-17
23.66,14-Jul-17
23.68,17-Jul-17
23.57,18-Jul-17
23.78,19-Jul-17
23.7,20-Jul-17
23.81,21-Jul-17
23.83,24-Jul-17
23.87,25-Jul-17
23.88,26-Jul-17
23.98,27-Jul-17
24.08,28-Jul-17
24.26,31-Jul-17
24.41,01-Aug-17
24.36,02-Aug-17
24.16,03-Aug-17
24.26,04-Aug-17
24.41,07-Aug-17
24.12,08-Aug-17
23.84,09-Aug-17
23.43,10-Aug-17
23.33,11-Aug-17
23.65,14-Aug-17
23.92,16-Aug-17
23.82,17-Aug-17
23.77,18-Aug-17
23.62,21-Aug-17
23.76,22-Aug-17
23.87,23-Aug-17
24.01,24-Aug-17
24.27,28-Aug-17
23.99,29-Aug-17
24.26,30-Aug-17
24.4,31-Aug-17
24.5,01-Sep-17
24.32,04-Sep-17
24.51,05-Sep-17
24.55,06-Sep-17
24.83,07-Sep-17
24.86,08-Sep-17
25.04,11-Sep-17
25.14,12-Sep-17
25.15,13-Sep-17
25.2,14-Sep-17
25.28,15-Sep-17
25.34,18-Sep-17
25.34,19-Sep-17
25.2,20-Sep-17
25.19,21-Sep-17
24.72,22-Sep-17
24.24,25-Sep-17
24.43,26-Sep-17
24.05,27-Sep-17
24.18,28-Sep-17
24.41,29-Sep-17
24.54,03-Oct-17
24.65,04-Oct-17
24.65,05-Oct-17
24.81,06-Oct-17
24.82,09-Oct-17
24.93,10-Oct-17
24.81,11-Oct-17
25.07,12-Oct-17
25.21,13-Oct-17
25.21,16-Oct-17
25.11,17-Oct-17
25.1,18-Oct-17
25,23-Oct-17
24.94,24-Oct-17
24.81,25-Oct-17
24.71,26-Oct-17
24.83,27-Oct-17
25.05,30-Oct-17
25.01,31-Oct-17
25.28,01-Nov-17
25.29,02-Nov-17
25.22,03-Nov-17
25.13,06-Nov-17
25.02,07-Nov-17
24.84,08-Nov-17
24.97,09-Nov-17
24.84,10-Nov-17
24.76,13-Nov-17
24.74,14-Nov-17
24.67,15-Nov-17
24.92,16-Nov-17
25.2,17-Nov-17
25.17,20-Nov-17
25.26,21-Nov-17
25.28,22-Nov-17
25.22,23-Nov-17
25.39,24-Nov-17
25.44,27-Nov-17
25.57,28-Nov-17
25.58,29-Nov-17
25.43,30-Nov-17
25.31,01-Dec-17
25.18,04-Dec-17
25.09,05-Dec-17
25.05,06-Dec-17
25.38,07-Dec-17
25.59,08-Dec-17
25.68,11-Dec-17
25.56,12-Dec-17
25.45,13-Dec-17
25.55,14-Dec-17
25.81,15-Dec-17
26.03,18-Dec-17
26.25,19-Dec-17
26.15,20-Dec-17
26.18,21-Dec-17
26.32,22-Dec-17
26.38,26-Dec-17
26.34,27-Dec-17
26.39,28-Dec-17
26.65,29-Dec-17
26.47,01-Jan-18
26.36,02-Jan-18
26.37,03-Jan-18
26.48,04-Jan-18
26.84,05-Jan-18
26.98,08-Jan-18
26.86,09-Jan-18
26.8,10-Jan-18
26.85,11-Jan-18
26.84,12-Jan-18
26.95,15-Jan-18
26.83,16-Jan-18
26.9,17-Jan-18
26.93,18-Jan-18
27.32,19-Jan-18
27.23,22-Jan-18
27.18,23-Jan-18
27.01,24-Jan-18
26.88,25-Jan-18
26.86,29-Jan-18
26.59,30-Jan-18
26.61,31-Jan-18
26.71,01-Feb-18
25.84,02-Feb-18
25.39,05-Feb-18
25.05,06-Feb-18
24.97,07-Feb-18
25.35,08-Feb-18
25.26,09-Feb-18
25.54,12-Feb-18
25.5,14-Feb-18
25.48,15-Feb-18
25.39,16-Feb-18
25.23,19-Feb-18
25.23,20-Feb-18
25.28,21-Feb-18
25.07,22-Feb-18
25.5,23-Feb-18
25.73,26-Feb-18
25.75,27-Feb-18
25.64,28-Feb-18
25.52,01-Mar-18
25.39,05-Mar-18
25.14,06-Mar-18
24.86,07-Mar-18
24.95,08-Mar-18
25.07,09-Mar-18
25.28,12-Mar-18
25.33,13-Mar-18
25.39,14-Mar-18
25.37,15-Mar-18
24.98,16-Mar-18
24.71,19-Mar-18
24.81,20-Mar-18
24.91,21-Mar-18
24.82,22-Mar-18
24.62,23-Mar-18
24.94,26-Mar-18
